iter	MultiClass
0	1.024270051
1	0.9692522659
2	0.9242803715
3	0.8757259805
4	0.8385505331
5	0.8023565288
6	0.7648149761
7	0.7333832388
8	0.7100279197
9	0.6794530153
10	0.6567686391
11	0.6366446572
12	0.6156077148
13	0.5953758763
14	0.5794210506
15	0.564697706
16	0.5509423697
17	0.5370213565
18	0.5259200613
19	0.5144864144
20	0.5042497885
21	0.4948377301
22	0.4844856338
23	0.4743432972
24	0.4644431538
25	0.4555451119
26	0.44684107
27	0.4391815531
28	0.4323895794
29	0.4254083025
30	0.4191307809
31	0.4129041966
32	0.4070724304
33	0.4013146992
34	0.3972306227
35	0.392125561
36	0.387033989
37	0.3811073006
38	0.3760073591
39	0.3710642964
40	0.3667862728
41	0.3625126686
42	0.3575597488
43	0.353333054
44	0.3490719308
45	0.3455327231
46	0.3419602093
47	0.3380604104
48	0.3347979989
49	0.331118332
50	0.3281279437
51	0.3250599046
52	0.3218359421
53	0.3182063558
54	0.3147575146
55	0.3122992066
56	0.3093517537
57	0.3070171068
58	0.3041026233
59	0.3017395034
60	0.2994094229
61	0.2967604942
62	0.2941357222
63	0.29210922
64	0.2899964568
65	0.2877764603
66	0.2858934715
67	0.2827092185
68	0.2804710622
69	0.2787531733
70	0.2764900596
71	0.2743839027
72	0.2716793283
73	0.2694315834
74	0.2670318407
75	0.265004664
76	0.2629295225
77	0.2612049771
78	0.2591652073
79	0.2573051041
80	0.2559104359
81	0.2540432601
82	0.2521548062
83	0.2503066417
84	0.2478049423
85	0.246184053
86	0.2443763207
87	0.2425347506
88	0.2408722342
89	0.2390725601
90	0.2372528172
91	0.2355053432
92	0.233911315
93	0.2317771704
94	0.2298869376
95	0.2281098568
96	0.2261567627
97	0.2245381185
98	0.2229522002
99	0.2216391241
100	0.2200794061
101	0.2183794208
102	0.216862249
103	0.2151390255
104	0.2139011664
105	0.2122105792
106	0.2115448016
107	0.209903473
108	0.2085778854
109	0.2070738185
110	0.2060008481
111	0.2047839258
112	0.2036307002
113	0.2024239762
114	0.2014887304
115	0.2000672378
116	0.1987454271
117	0.1976128652
118	0.1960144598
119	0.1949448195
120	0.194208312
121	0.1928848798
122	0.1916071982
123	0.1905649339
124	0.1895904458
125	0.1884150795
126	0.1869383809
127	0.185669758
128	0.1843597257
129	0.1836154898
130	0.1825052296
131	0.1812526865
132	0.1799378134
133	0.1789236799
134	0.1778126222
135	0.1766276526
136	0.1755629438
137	0.1746228063
138	0.1737809749
139	0.1728100418
140	0.1718919489
141	0.1710462572
142	0.1702348084
143	0.1687869479
144	0.1678468276
145	0.1668338198
146	0.1662050725
147	0.1652832503
148	0.1644129649
149	0.1635174642
150	0.1629306502
151	0.1620955062
152	0.1612081083
153	0.1602023968
154	0.1592678094
155	0.1585575774
156	0.1577457302
157	0.1565850766
158	0.155839534
159	0.1552390788
160	0.1540913825
161	0.153564017
162	0.1528654347
163	0.152160591
164	0.1513962514
165	0.1506378023
166	0.1496232245
167	0.1489409274
168	0.1480197198
169	0.1469089358
170	0.146164658
171	0.1456975489
172	0.1447721218
173	0.1438628321
174	0.1428834778
175	0.1420446362
176	0.1413025697
177	0.1406902262
178	0.1399683994
179	0.1393518057
180	0.1384328243
181	0.137793227
182	0.1371900816
183	0.1366808346
184	0.1359594065
185	0.135368233
186	0.1346954205
187	0.1339242306
188	0.1332965703
189	0.1327113211
190	0.1319505748
191	0.1313706714
192	0.1305822944
193	0.1296013735
194	0.12897251
195	0.1285695688
196	0.1279431054
197	0.1272358348
198	0.126569143
199	0.1262038795
200	0.1255166051
201	0.1247816847
202	0.1240412462
203	0.1236068986
204	0.122833874
205	0.1224403462
206	0.1217498555
207	0.1213140396
208	0.1206759908
209	0.1203199412
210	0.1197926546
211	0.1192857803
212	0.1188278494
213	0.1184254258
214	0.1180281437
215	0.1174698038
216	0.1166496277
217	0.1162924064
218	0.115942869
219	0.1155575994
220	0.1151075673
221	0.1143636389
222	0.1137928195
223	0.1131204131
224	0.1126931954
225	0.1123155818
226	0.1118507837
227	0.111247404
228	0.1107877478
229	0.1102552689
230	0.1098655934
231	0.1092689764
232	0.1088845218
233	0.108420009
234	0.1078207072
235	0.1074087264
236	0.107024647
237	0.1066043753
238	0.1060976492
239	0.1056477959
240	0.1051879007
241	0.1047406747
242	0.1043136734
243	0.1039895631
244	0.1037974317
245	0.1033874698
246	0.1030003649
247	0.1023960128
248	0.1018150119
249	0.1013676521
250	0.1009612358
251	0.1006529074
252	0.1003677295
253	0.09994347599
254	0.09962616236
255	0.09933691355
256	0.09899045621
257	0.09860450478
258	0.09812655325
259	0.09771431436
260	0.09722998363
261	0.09696431583
262	0.09653189104
263	0.09608893688
264	0.09577266778
265	0.09529384089
266	0.09510807271
267	0.09463580403
268	0.09422511796
269	0.0938757996
270	0.09336707476
271	0.09291419664
272	0.09259363524
273	0.09217974251
274	0.09181834126
275	0.09141823695
276	0.09118630193
277	0.09078716959
278	0.09043707269
279	0.09013536707
280	0.08970377257
281	0.08926217935
282	0.08895328855
283	0.08867775642
284	0.08835334393
285	0.08812796852
286	0.08794517465
287	0.08755801369
288	0.08717816986
289	0.08691573465
290	0.08641653826
291	0.08601048955
292	0.08571628393
293	0.08548111653
294	0.08518806631
295	0.0848311599
296	0.08461005914
297	0.08429698891
298	0.08414300586
299	0.08383387125
